source,key,version_name,binoScore,ppl,xppl
Tsinghua,tldr-383,original,0.8108108043670654,1.171875,1.4453125
BigScience,tldr-383,original,1.048076868057251,3.40625,3.25
Human,tldr-383,original,1.0414507389068604,3.140625,3.015625
Eleuther-AI,tldr-383,original,1.2222222089767456,3.78125,3.09375
LLAMA,tldr-383,original,0.770370364189148,1.625,2.109375
OpenAI,tldr-383,original,0.849056601524353,2.109375,2.484375
PaLM,tldr-383,original,0.9753694534301758,3.09375,3.171875
Human,tldr-384,original,0.985981285572052,3.296875,3.34375
PaLM,tldr-384,original,0.7649253606796265,3.203125,4.1875
LLAMA,tldr-384,original,0.7872340679168701,2.3125,2.9375
Tsinghua,tldr-384,original,0.8477157354354858,2.609375,3.078125
OpenAI,tldr-384,original,0.6920731663703918,1.7734375,2.5625
LLAMA,tldr-385,original,0.7611464858055115,1.8671875,2.453125
Tsinghua,tldr-385,original,0.8040540814399719,1.859375,2.3125
Human,tldr-385,original,1.0056179761886597,2.796875,2.78125
Eleuther-AI,tldr-385,original,1.25268816947937,3.640625,2.90625
OpenAI,tldr-385,original,0.7724137902259827,1.75,2.265625
PaLM,tldr-385,original,0.7882353067398071,2.09375,2.65625
BigScience,tldr-385,original,1.05978262424469,3.046875,2.875
OpenAI,tldr-386,original,0.7604790329933167,1.984375,2.609375
LLAMA,tldr-386,original,0.8317307829856873,2.703125,3.25
Eleuther-AI,tldr-386,original,1.196261644363403,4.0,3.34375
Human,tldr-386,original,0.9671361446380616,3.21875,3.328125
BigScience,tldr-386,original,1.0349650382995603,2.3125,2.234375
Tsinghua,tldr-386,original,0.8156682252883911,2.765625,3.390625
PaLM,tldr-386,original,0.7857142686843872,2.75,3.5
Tsinghua,tldr-387,original,0.7865612506866455,1.5546875,1.9765625
PaLM,tldr-387,original,0.7154471278190613,1.375,1.921875
Human,tldr-387,original,0.9814814925193788,2.484375,2.53125
Eleuther-AI,tldr-387,original,1.0529412031173706,2.796875,2.65625
OpenAI,tldr-387,original,0.79666668176651,1.8671875,2.34375
BigScience,tldr-387,original,0.9895833134651184,2.96875,3.0
LLAMA,tldr-387,original,0.75,1.2421875,1.65625
Human,tldr-388,original,0.8409090638160706,2.3125,2.75
PaLM,tldr-388,original,0.7634408473968506,2.21875,2.90625
BigScience,tldr-388,original,1.023809552192688,2.6875,2.625
OpenAI,tldr-388,original,0.8229166865348816,2.46875,3.0
Tsinghua,tldr-388,original,0.8805309534072876,3.109375,3.53125
LLAMA,tldr-388,original,0.8588235378265381,2.28125,2.65625
Eleuther-AI,tldr-388,original,1.1036269664764404,3.328125,3.015625
PaLM,tldr-389,original,0.6666666865348816,1.65625,2.484375
Eleuther-AI,tldr-389,original,0.9494949579238892,2.9375,3.09375
Human,tldr-389,original,0.9005235433578491,2.6875,2.984375
BigScience,tldr-389,original,0.9776536226272584,2.734375,2.796875
OpenAI,tldr-389,original,0.5692307949066162,2.3125,4.0625
Tsinghua,tldr-390,original,0.7745097875595093,2.46875,3.1875
BigScience,tldr-390,original,0.9805825352668762,3.15625,3.21875
PaLM,tldr-390,original,0.8512820601463318,2.59375,3.046875
